resume_id,similarity_score,Vague_Score,reciprocal_score,normalized_vague_score,normalized_similarity_score,risk_score
0,0.2583,3,0,0.25,0.125044237,0.512477882
1,0.2676,0,0,0,0.1360151,0.43199245
2,0.3669,2,0,0.166666667,0.253155597,0.423422202
3,0.307,2,1,0.166666667,0.182493807,0.658753097
4,0.3285,1,0,0.083333333,0.207856553,0.421071723
5,0.3109,1,0,0.083333333,0.187094491,0.431452754
6,0.2885,1,0,0.083333333,0.160670048,0.444664976
7,0.2886,1,1,0.083333333,0.160788015,0.644605992
8,0.2847,11,0,0.916666667,0.15618733,0.696906335
9,0.3797,0,0,0,0.268255279,0.365872361
10,0.3406,5,0,0.416666667,0.222130471,0.513934765
11,0.3724,2,1,0.166666667,0.259643742,0.620178129
12,0.2743,0,0,0,0.143918839,0.428040581
13,0.272,6,0,0.5,0.141205615,0.579397193
14,0.2708,2,0,0.166666667,0.13979002,0.48010499
15,0.4042,11,0,0.916666667,0.297157013,0.626421494
16,0.3908,6,0,0.5,0.281349534,0.509325233
17,0.5681,1,0,0.083333333,0.490503716,0.279748142
18,0.2616,11,0,0.916666667,0.128937124,0.710531438
19,0.4927,6,0,0.5,0.401557155,0.449221422
20,0.3205,8,0,0.666666667,0.198419252,0.600790374
21,0.2688,1,0,0.083333333,0.137430695,0.456284652
22,0.3523,4,0,0.333333333,0.235932523,0.482033738
23,0.3443,3,0,0.25,0.226495222,0.461752389
24,0.3284,1,0,0.083333333,0.207738587,0.421130706
25,0.4249,6,0,0.5,0.321576029,0.489211986
26,0.3277,0,0,0,0.206912823,0.396543589
27,0.3864,2,0,0.166666667,0.276159019,0.411920491
28,0.523,2,0,0.166666667,0.437300932,0.331349534
29,0.2299,4,0,0.333333333,0.091541819,0.55422909
30,0.2208,5,0,0.416666667,0.080806889,0.584596556
31,0.3669,10,0,0.833333333,0.253155597,0.623422201
32,0.4392,0,0,0,0.338445205,0.330777398
33,0.4141,3,0,0.25,0.308835673,0.420582164
34,0.4943,1,0,0.083333333,0.403444615,0.323277692
35,0.2514,3,1,0.25,0.116904565,0.716547717
36,0.4199,4,0,0.333333333,0.315677716,0.442161142
37,0.3227,4,0,0.333333333,0.20101451,0.499492745
38,0.4774,1,1,0.083333333,0.383508317,0.533245841
39,0.4018,0,0,0,0.294325823,0.352837089
40,0.3323,2,0,0.166666667,0.212339271,0.443830365
41,0.3673,2,1,0.166666667,0.253627463,0.623186269
42,0.268,2,0,0.166666667,0.136486965,0.481756518
43,0.1952,1,0,0.083333333,0.050607526,0.499696237
44,0.4593,0,0,0,0.362156423,0.318921788
45,0.5625,3,0,0.25,0.483897605,0.333051198
46,0.4178,7,0,0.583333333,0.313200425,0.518399787
47,0.3057,10,0,0.833333333,0.180960245,0.659519877
48,0.4789,1,0,0.083333333,0.385277811,0.332361094
49,0.2693,7,0,0.583333333,0.138020526,0.605989737
50,0.3501,2,0,0.166666667,0.233337266,0.433331367
51,0.3705,6,0,0.5,0.257402383,0.521298809
52,0.3142,0,0,0,0.190987378,0.404506311
53,0.3787,1,0,0.083333333,0.267075616,0.391462192
54,0.3398,3,0,0.25,0.221186741,0.46440663
55,0.2266,0,0,0,0.087648932,0.456175534
56,0.4198,2,0,0.166666667,0.31555975,0.392220125
57,0.384,3,0,0.25,0.273327828,0.438336086
58,0.3446,1,0,0.083333333,0.226849121,0.411575439
59,0.1963,1,0,0.083333333,0.051905155,0.499047422
60,0.2805,5,0,0.416666667,0.151232747,0.549383627
61,0.3439,2,0,0.166666667,0.226023357,0.436988322
62,0.4129,0,0,0,0.307420078,0.346289961
63,0.5227,8,0,0.666666667,0.436947033,0.481526484
64,0.1807,2,0,0.166666667,0.033502418,0.533248791
65,0.3439,4,0,0.333333333,0.226023357,0.486988321
66,0.5121,7,0,0.583333333,0.424442609,0.462778695
67,0.3141,7,0,0.583333333,0.190869411,0.579565294
68,0.2441,2,0,0.166666667,0.108293028,0.495853486
69,0.4328,3,0,0.25,0.330895364,0.409552318
70,0.3107,4,0,0.333333333,0.186858558,0.506570721
71,0.3456,2,0,0.166666667,0.228028784,0.435985608
72,0.397,2,0,0.166666667,0.288663442,0.405668279
73,0.5133,4,0,0.333333333,0.425858205,0.387070897
74,0.2448,4,0,0.333333333,0.109118792,0.545440604
75,0.2914,1,0,0.083333333,0.16409107,0.442954465
76,0.2962,3,0,0.25,0.169753451,0.490123275
77,0.4015,5,0,0.416666667,0.293971924,0.478014038
78,0.3241,1,0,0.083333333,0.202666038,0.423666981
79,0.3334,0,0,0,0.2136369,0.39318155
80,0.4278,2,0,0.166666667,0.324997051,0.387501475
81,0.322,9,0,0.75,0.200188746,0.624905627
82,0.4937,4,0,0.333333333,0.402736817,0.398631591
83,0.3427,1,1,0.083333333,0.224607762,0.612696119
