resume_id,similarity_score
ID_0,0.7417
ID_1,0.7324
ID_10,0.6594
ID_100,0.4572
ID_101,0.4889
ID_102,0.6944
ID_103,0.6464
ID_104,0.6247
ID_105,0.7586
ID_106,0.5832
ID_107,0.7321
ID_108,0.7533
ID_109,0.6703
ID_11,0.6276
ID_110,0.3655
ID_111,0.7335
ID_112,0.7141
ID_113,0.5379
ID_114,0.5762
ID_115,0.7111
ID_116,0.6806
ID_117,0.6388
ID_118,0.6838
ID_119,0.6821
ID_12,0.7257
ID_120,0.6082
ID_121,0.5321
ID_122,0.6979
ID_123,0.7536
ID_124,0.5999
ID_125,0.5472
ID_126,0.6574
ID_127,0.508
ID_128,0.698
ID_129,0.3216
ID_13,0.728
ID_130,0.6251
ID_131,0.562
ID_133,0.6992
ID_134,0.6072
ID_135,0.4713
ID_136,0.7012
ID_137,0.7357
ID_138,0.5143
ID_139,0.7479
ID_14,0.7292
ID_140,0.7101
ID_142,0.7379
ID_143,0.7427
ID_144,0.5022
ID_145,0.6145
ID_146,0.6099
ID_147,0.6041
ID_148,0.6362
ID_149,0.6513
ID_15,0.5958
ID_150,0.6878
ID_151,0.5345
ID_152,0.6826
ID_153,0.6073
ID_154,0.6499
ID_155,0.4639
ID_156,0.7693
ID_157,0.7012
ID_158,0.6681
ID_159,0.7269
ID_16,0.6092
ID_160,0.5919
ID_161,0.7871
ID_162,0.7278
ID_163,0.6368
ID_164,0.6575
ID_165,0.7097
ID_166,0.654
ID_167,0.6415
ID_168,0.7207
ID_169,0.3918
ID_17,0.4319
ID_170,0.5722
ID_171,0.6273
ID_172,0.6296
ID_173,0.6501
ID_174,0.7249
ID_175,0.6115
ID_176,0.4749
ID_177,0.6497
ID_178,0.6954
ID_179,0.6546
ID_18,0.7384
ID_180,0.6631
ID_181,0.7337
ID_182,0.5829
ID_183,0.6259
ID_184,0.395
ID_185,0.7955
ID_186,0.6601
ID_187,0.6617
ID_189,0.7473
ID_19,0.5073
ID_190,0.7797
ID_191,0.6615
ID_192,0.2435
ID_193,0.7661
ID_194,0.595
ID_195,0.5922
ID_197,0.738
ID_198,0.7571
ID_199,0.7046
ID_2,0.6331
ID_20,0.6795
ID_200,0.6954
ID_201,0.7148
ID_202,0.7247
ID_203,0.5786
ID_204,0.6295
ID_205,0.6218
ID_206,0.6461
ID_207,0.5975
ID_208,0.7146
ID_209,0.6503
ID_21,0.7312
ID_210,0.4898
ID_212,0.6461
ID_213,0.6126
ID_214,0.5882
ID_215,0.6078
ID_216,0.7479
ID_217,0.5303
ID_218,0.6917
ID_219,0.7589
ID_22,0.6477
ID_220,0.537
ID_221,0.604
ID_222,0.718
ID_223,0.6469
ID_224,0.4893
ID_225,0.761
ID_226,0.8124
ID_227,0.782
ID_228,0.7033
ID_229,0.763
ID_23,0.6557
ID_230,0.5688
ID_232,0.7323
ID_233,0.6356
ID_234,0.8036
ID_235,0.6512
ID_236,0.6275
ID_237,0.389
ID_238,0.7025
ID_239,0.621
ID_24,0.6716
ID_240,0.8019
ID_241,0.7247
ID_242,0.7318
ID_243,0.7166
ID_244,0.6696
ID_245,0.6045
ID_246,0.6563
ID_247,0.471
ID_248,0.6806
ID_249,0.5276
ID_25,0.5751
ID_250,0.5878
ID_251,0.5193
ID_252,0.6761
ID_253,0.611
ID_254,0.4417
ID_255,0.6937
ID_256,0.7455
ID_257,0.6998
ID_258,0.6869
ID_259,0.6237
ID_26,0.6723
ID_260,0.6018
ID_261,0.6248
ID_262,0.6965
ID_263,0.5487
ID_264,0.6429
ID_265,0.5979
ID_266,0.6647
ID_267,0.7174
ID_268,0.5345
ID_269,0.6321
ID_27,0.6136
ID_270,0.7033
ID_271,0.5708
ID_272,0.7052
ID_273,0.6657
ID_274,0.7999
ID_275,0.721
ID_276,0.7484
ID_277,0.779
ID_279,0.4361
ID_28,0.477
ID_280,0.6494
ID_281,0.6645
ID_282,0.7266
ID_283,0.5776
ID_284,0.786
ID_285,0.5373
ID_286,0.7583
ID_287,0.4912
ID_288,0.7095
ID_289,0.6901
ID_29,0.7701
ID_290,0.5822
ID_291,0.7901
ID_292,0.6842
ID_293,0.5947
ID_294,0.489
ID_295,0.5714
ID_296,0.5915
ID_297,0.6914
ID_298,0.6044
ID_299,0.8019
ID_3,0.693
ID_30,0.7792
ID_300,0.6469
ID_301,0.6529
ID_302,0.6143
ID_303,0.6902
ID_304,0.6261
ID_305,0.6519
ID_306,0.7142
ID_307,0.6628
ID_308,0.7387
ID_309,0.6703
ID_31,0.6331
ID_310,0.564
ID_311,0.7584
ID_312,0.5229
ID_313,0.5182
ID_314,0.3732
ID_315,0.5443
ID_316,0.492
ID_317,0.5264
ID_318,0.634
ID_319,0.6899
ID_32,0.5608
ID_320,0.6122
ID_321,0.6292
ID_322,0.6432
ID_323,0.7285
ID_324,0.6426
ID_325,0.5567
ID_326,0.742
ID_327,0.5802
ID_328,0.7645
ID_329,0.7245
ID_33,0.5859
ID_330,0.6512
ID_331,0.7358
ID_332,0.6185
ID_333,0.8249
ID_334,0.5845
