totalexperienceyears,skill1,skill2,pdf_id,skills_1_set,skills_2_set,synergy_score,synergy_score_normalized,Network correction score,Risk score,1-Risk score,normalized experience,Candidate_score
8.0,"Microsoft Office (Word, Excel, Outlook, and PowerPoint); organizational skills; self-starter; problem solver",Critical thinking; Territory growth; Eye for detail; Business development; Multi-tasking; Strategic planning; Verbal communication; Time management; Vendor management; Price verification; Promotion creation and testing; Customer service; Product recommendations; Cold calling; Relationship building; Customer follow-up; Product delivery; Account establishment; Competitor analysis; Market research; Sales goal achievement; Exercise modification; Injury prevention; Fitness coaching; Group fitness instruction; Fitness needs assessment; Nutrition guidance; Cash handling; Customer service; Store operations; Staff management; Task delegation; Inventory management; Vendor relations; Bookkeeping; Business Administration,771.0,"{'organizational skills', 'self-starter', 'problem solver', 'microsoft office (word, excel, outlook, and powerpoint)'}","{'eye for detail', 'market research', 'verbal communication', 'business administration', 'competitor analysis', 'cold calling', 'exercise modification', 'fitness coaching', 'business development', 'bookkeeping', 'vendor management', 'promotion creation and testing', 'store operations', 'inventory management', 'vendor relations', 'task delegation', 'product delivery', 'group fitness instruction', 'customer follow-up', 'account establishment', 'time management', 'product recommendations', 'relationship building', 'customer service', 'fitness needs assessment', 'strategic planning', 'multi-tasking', 'nutrition guidance', 'price verification', 'territory growth', 'injury prevention', 'critical thinking', 'sales goal achievement', 'cash handling', 'staff management'}",0.0,0.0,0.648904316,0.448507727,0.551492273,0.85106383,0.620033288
6.0,account reconciliation; Accounting; accountant; accrual; ABC; Streamline; ADP and Payroll; Ad; AP; AR; Balance Sheet; billings; Biotechnology; Bookkeeping; bookkeeper; Budget Analysis; budgets; Budget; cash receipts; Cash flow; Closing; Controller; Certified Public Accountant; credit; clients; filing; finance; financials; Financial; financial and accounting; Financial Modeling; Development of financial models; financial reports; financial analysis and reporting; Financial Reporting; financial statements; Financial Statement Analysis; fixed assets; funds; GL; Grants; invoicing; ledger; letters; meetings; Microsoft Dynamics; Excel; Outlook; modeling; processes; coding; proposal; QuickBooks; reporting; Research; Revenue recognition; spread sheets; year-end,"Working Capital Management; Financial Modeling; End of the Month Closing; Budget Analysis; Bookkeeping; Grant Accounting; Grant Reporting and budget modeling; Account Payables/Receivables aging reporting Analysis; Knowledgeable in Microsoft Dynamics; Proficient in FundEz; Proficient in QuickBooks; Quick learner; Results-oriented; Financial records and processing; Full charge bookkeeper; Financial Statement reporting; G/L reconciliation; Monthly Balance Sheet Reconciliation; Statement or Position and Cash Flows analysis; Revenue Audition according to grants agreements; Operation Budget and Expenses Analysis; AR; AP; Revenue and Deferred Revenue recognition; adjusting entries; depreciation schedule; grants' budget monitoring; Analysis to address discrepancies in 2014 Balance Sheet and General Ledger; cash account reconciliation processes and internal controls; Coordination of the provision of information to State and Private auditors; Monthly calculation of all grants variances; estimate at complete and budget forecasts and actualization; Recommendation of salaries and fringes' allocation benchmark; Monitored multiple grants' agreements to keep track of actual revenue, deferred revenue and restricted/unrestricted assets; Audit schedules preparation and financial information forwarding to auditors; Work with auditors for all year end adjusting entries; Assisted controller to develop audit schedule with private or State auditors and insure compliance with OMB Circ.  A133; Reviewed Grants' award letters, budget narratives and related invoicing conditions for compliance with organization's F&A.; Slaries and Fringe allocation benchmarks; Modeled grants' budget spread sheets with actuals and calculated variances; Grant's monthly budget monitoring financial analysis and reporting to programs managers and CFO; Calculated FTE and fringe benefit allocation's benchmark according to internally developed allocation benchmarks within the guidelines of OMB Circ 21 and ensured accurate update of wages allocation in ADP; Managed and reviewed State and Foundations grants' monthly expenditures according to signed agreements and OMB Circ 21 guidelines; Produced monthly update on grants' account receivable aging reports at grants' ending period and reconciled the deferred revenue to the unrestricted; Prepared and submitted all State (DHMH) request of payments (Form 437) and quarterly reports (Form 438) and performance measure (Form 440A) in compliance with grants requirements; Reconciled all grants monthly invoices to grant budget lines to effect funds drawdowns and ensure effective budget monitoring; Conducted monthly budget, financial and fiscal review and reported updates to program managers; Reconcile various payments drawdowns from State (DHMH, DLLR) to billings and grants budget line and recognize revenue accordingly; Full Circle Accounting Support; Reconciled various bank account balances to the G/L; Recorded all cash receipts and remotely deposited check and prepared transmittals; Analyzed and reconciled G/L accounts details and corrected discrepancies; Prepared month-end and year-end journal entries; 1099 preparation and filing; Maintained fixed assets ledger and recorded periodic depreciation; Generated various financial reports; Balance Sheet account reconciliation with the GL; Assisted controller in the development of ABC's Operating budget and review Grants' budgets proposal before submission; Reviewed account payables monthly transactions for compliance with GAAP and posted month end adjusting entries and accruals; Supervised all journalized cash receipts and cash disbursements for proper coding; Corrected discrepancies between Statement of Revenues and original budgets; Created all Account Receivables and monitored aging report accordingly; Monitored all operating cash accounts and performed remote checks deposit; Maintained the Chart Account and all related cost centers' codification; Successfully led key project towhich resulted in [positive outcome]; Provided financial and accounting services to a portfolio of private and public clients; Supported clients' finance department with the following: Budget analysis Cash flow management Bookkeeping End of the month and end of the year closing with W2s and 1099 filings G/L accounts reconciliation End of the year financial Statement reporting Streamline financial processes and Internal control implementation Analysis of variances analysis and development of new plan of action Development of financial models and financial analytical tools Maintained Chart Accounts; Evaluated clients' financials and accounting processes to determine plan of action; Analyzed Income and evaluated working capital; Performed audit of various accounts and tracked all capital spending against approved payment requests; Offset unapproved and unusual expenses variances in their respective areas; Analyzed clients' operation budget against operation income and adjusted forecasts accordingly; Assisted CFOs with the production of monthly financial statement reports; Financial Statement Analysis; Reconciled financial statements with the G/L, corrected discrepancies in revenue recognition, asset ledger, periodic depreciation and prepaid expenses; Performed expenses and revenue analysis; Performed grant accountant duties for a portfolio of grants funded program at Center of Advanced Study of Languages (CASL) and at Institute of Biotechnology and Bioscience Research (IBBR); Defined grants projects deliverables with contractors and monitored deadlines accordingly; Performed monthly budget actualization and developed monthly financial reports; Analyzed, investigated variances and assisted project managers to build plan of actions; Reconciled all journal entries with the G/L, investigated and corrected discrepancies; Maintained and review petty cash funds; Reviewed all credit card expenses and grants expenses/payment request for compliance with federal OMB Circ. A21 and OMB Circ. 122; Conducted monthly meetings with projects managers for grants expenses analysis; Customized various financial reports to respond to Board Members' needs; Streamlined Financial and Accounting processes to increase Internal control's efficiency; Investigated and corrected discrepancies in the G/L, in the financial statements with 100% accuracy; Insured 100% compliance with Internal Controls, GAAP and OMB Circ. A21, 22, 110, 133",841.0,"{'budget analysis', 'reporting', 'closing', 'research', 'financial reporting', 'spread sheets', 'streamline', 'cash flow', 'ap', 'meetings', 'bookkeeper', 'clients', 'financial reports', 'cash receipts', 'account reconciliation', 'billings', 'abc', 'fixed assets', 'finance', 'outlook', 'filing', 'quickbooks', 'excel', 'bookkeeping', 'grants', 'year-end', 'financial', 'financial statement analysis', 'financial analysis and reporting', 'modeling', 'adp and payroll', 'financial modeling', 'controller', 'financials', 'biotechnology', 'development of financial models', 'financial statements', 'ad', 'credit', 'letters', 'ar', 'funds', 'budget', 'budgets', 'invoicing', 'ledger', 'gl', 'certified public accountant', 'proposal', 'balance sheet', 'accountant', 'accounting', 'accrual', 'revenue recognition', 'processes', 'financial and accounting', 'microsoft dynamics', 'coding'}","{'analysis to address discrepancies in 2014 balance sheet and general ledger', 'analyzed income and evaluated working capital', 'statement or position and cash flows analysis', 'reconciled all grants monthly invoices to grant budget lines to effect funds drawdowns and ensure effective budget monitoring', 'audit schedules preparation and financial information forwarding to auditors', 'financial statement reporting', 'reconcile various payments drawdowns from state (dhmh, dllr) to billings and grants budget line and recognize revenue accordingly', 'maintained fixed assets ledger and recorded periodic depreciation', 'operation budget and expenses analysis', 'g/l reconciliation', 'work with auditors for all year end adjusting entries', 'created all account receivables and monitored aging report accordingly', 'monitored all operating cash accounts and performed remote checks deposit', 'performed audit of various accounts and tracked all capital spending against approved payment requests', ""customized various financial reports to respond to board members' needs"", ""calculated fte and fringe benefit allocation's benchmark according to internally developed allocation benchmarks within the guidelines of omb circ 21 and ensured accurate update of wages allocation in adp"", 'revenue and deferred revenue recognition', 'prepared month-end and year-end journal entries', 'conducted monthly budget, financial and fiscal review and reported updates to program managers', 'reconciled financial statements with the g/l, corrected discrepancies in revenue recognition, asset ledger, periodic depreciation and prepaid expenses', ""assisted controller in the development of abc's operating budget and review grants' budgets proposal before submission"", 'knowledgeable in microsoft dynamics', 'proficient in fundez', 'depreciation schedule', 'reviewed all credit card expenses and grants expenses/payment request for compliance with federal omb circ. a21 and omb circ. 122', ""managed and reviewed state and foundations grants' monthly expenditures according to signed agreements and omb circ 21 guidelines"", 'reconciled various bank account balances to the g/l', 'full circle accounting support', 'ap', ""analyzed clients' operation budget against operation income and adjusted forecasts accordingly"", 'successfully led key project towhich resulted in [positive outcome]', 'revenue audition according to grants agreements', 'performed expenses and revenue analysis', 'financial modeling', ""supported clients' finance department with the following: budget analysis cash flow management bookkeeping end of the month and end of the year closing with w2s and 1099 filings g/l accounts reconciliation end of the year financial statement reporting streamline financial processes and internal control implementation analysis of variances analysis and development of new plan of action development of financial models and financial analytical tools maintained chart accounts"", 'analyzed and reconciled g/l accounts details and corrected discrepancies', 'performed grant accountant duties for a portfolio of grants funded program at center of advanced study of languages (casl) and at institute of biotechnology and bioscience research (ibbr)', ""grants' budget monitoring"", ""streamlined financial and accounting processes to increase internal control's efficiency"", 'monthly balance sheet reconciliation', 'coordination of the provision of information to state and private auditors', 'provided financial and accounting services to a portfolio of private and public clients', 'reviewed account payables monthly transactions for compliance with gaap and posted month end adjusting entries and accruals', 'maintained and review petty cash funds', ""evaluated clients' financials and accounting processes to determine plan of action"", 'offset unapproved and unusual expenses variances in their respective areas', ""recommendation of salaries and fringes' allocation benchmark"", ""reviewed grants' award letters, budget narratives and related invoicing conditions for compliance with organization's f&a."", 'analyzed, investigated variances and assisted project managers to build plan of actions', 'grant accounting', 'slaries and fringe allocation benchmarks', 'recorded all cash receipts and remotely deposited check and prepared transmittals', 'end of the month closing', 'account payables/receivables aging reporting analysis', 'insured 100% compliance with internal controls, gaap and omb circ. a21, 22, 110, 133', 'balance sheet account reconciliation with the gl', 'ar', 'defined grants projects deliverables with contractors and monitored deadlines accordingly', ""maintained the chart account and all related cost centers' codification"", 'results-oriented', 'reconciled all journal entries with the g/l, investigated and corrected discrepancies', ""monitored multiple grants' agreements to keep track of actual revenue, deferred revenue and restricted/unrestricted assets"", 'cash account reconciliation processes and internal controls', 'proficient in quickbooks', 'assisted controller to develop audit schedule with private or state auditors and insure compliance with omb circ.  a133', 'investigated and corrected discrepancies in the g/l, in the financial statements with 100% accuracy', 'budget analysis', 'conducted monthly meetings with projects managers for grants expenses analysis', 'financial records and processing', 'generated various financial reports', 'bookkeeping', ""modeled grants' budget spread sheets with actuals and calculated variances"", ""grant's monthly budget monitoring financial analysis and reporting to programs managers and cfo"", 'quick learner', 'adjusting entries', 'financial statement analysis', 'monthly calculation of all grants variances', 'assisted cfos with the production of monthly financial statement reports', 'grant reporting and budget modeling', 'performed monthly budget actualization and developed monthly financial reports', '1099 preparation and filing', 'prepared and submitted all state (dhmh) request of payments (form 437) and quarterly reports (form 438) and performance measure (form 440a) in compliance with grants requirements', ""produced monthly update on grants' account receivable aging reports at grants' ending period and reconciled the deferred revenue to the unrestricted"", 'full charge bookkeeper', 'working capital management', 'estimate at complete and budget forecasts and actualization', 'supervised all journalized cash receipts and cash disbursements for proper coding', 'corrected discrepancies between statement of revenues and original budgets'}",4.29,0.055852103,0.561877437,0.288840391,0.711159609,0.893617021,0.618402596
12.0,audio; excellent oral; contracts; customer satisfaction; excellent customer service; customer service; Customer Support; databases; Dependable; email; first aid; Inspect; inventory management; Leadership; Director; Management Skills; marketing; market; Microsoft Office; personnel; policies; pricing; proposals; quality; receptionist; reporting; Research; safety; sales; spreadsheets; telephone; phone; Time Management; trade shows; training programs; video; written communication skills,sales management; marketing; technical presentation creation; service training; persuasion; negotiation; new program implementation; promotion implementation; organization assessment; leadership; management; dependability; attention to detail; time management; flexibility; customer satisfaction; communication; teamwork; presentations; prospecting; marketing strategy; business development; sales techniques; customer service; product knowledge; competition analysis; customer relations; pricing; discounts; proposals; training; event coordination; trade shows; customer quotes; customer information verification; order management; database creation; spreadsheet creation; inventory management; customer reporting; pre-sale development; market research; executive support; travel coordination; marketing support; communication; receptionist duties; file management; flight attendant duties; safety procedures; customer service; emergency procedures; cabin inspection; passenger assistance; training; mentoring; professional conduct; audio/video system operation,865.0,"{'reporting', 'research', 'written communication skills', 'director', 'customer support', 'policies', 'email', 'audio', 'customer satisfaction', 'microsoft office', 'marketing', 'personnel', 'telephone', 'management skills', 'excellent customer service', 'quality', 'video', 'receptionist', 'pricing', 'phone', 'excellent oral', 'market', 'contracts', 'inventory management', 'databases', 'first aid', 'time management', 'inspect', 'training programs', 'proposals', 'customer service', 'spreadsheets', 'leadership', 'safety', 'sales', 'dependable', 'trade shows'}","{'marketing strategy', 'customer reporting', 'market research', 'negotiation', 'order management', 'pre-sale development', 'service training', 'prospecting', 'file management', 'emergency procedures', 'professional conduct', 'management', 'technical presentation creation', 'sales management', 'cabin inspection', 'customer satisfaction', 'marketing', 'new program implementation', 'mentoring', 'executive support', 'customer information verification', 'business development', 'dependability', 'attention to detail', 'product knowledge', 'pricing', 'discounts', 'receptionist duties', 'passenger assistance', 'organization assessment', 'flexibility', 'promotion implementation', 'competition analysis', 'spreadsheet creation', 'presentations', 'inventory management', 'safety procedures', 'communication', 'flight attendant duties', 'time management', 'persuasion', 'customer relations', 'proposals', 'event coordination', 'customer service', 'teamwork', 'travel coordination', 'marketing support', 'leadership', 'audio/video system operation', 'sales techniques', 'database creation', 'training', 'customer quotes', 'trade shows'}",10.84,0.141127457,0.562693316,0.05,0.95,0.765957447,0.616999484
6.0,Excel (Intermediate); Microsoft Word (Intermediate); PowerPoint (Intermediate); Extremely organized; Data management; Staff development; Team leadership; Project management; Self-motivated; Team liaison,Event planning; Customer Service; Microsoft Office; Sales; Research; Data analysis; Report writing; Scheduling; Task assignment; Personnel management; Marketing strategies; Social media management; Membership management; Cash register operation; Inventory management; Customer service; Data entry; SWOT analysis; Presentation; Tutoring; Math; Reading; Group activities; Leadership; Teamwork; Program development; Organization; Resource management; Family engagement; Communication; Spanish (Basic/Polite),313.0,"{'staff development', 'extremely organized', 'data management', 'project management', 'microsoft word (intermediate)', 'self-motivated', 'powerpoint (intermediate)', 'excel (intermediate)', 'team liaison', 'team leadership'}","{'event planning', 'research', 'reading', 'marketing strategies', 'task assignment', 'family engagement', 'microsoft office', 'math', 'personnel management', 'membership management', 'data analysis', 'social media management', 'inventory management', 'report writing', 'group activities', 'communication', 'spanish (basic/polite)', 'presentation', 'resource management', 'swot analysis', 'customer service', 'teamwork', 'leadership', 'data entry', 'program development', 'sales', 'organization', 'scheduling', 'tutoring', 'cash register operation'}",0.0,0.0,0.559813247,0.305650584,0.694349416,0.893617021,0.61610232
10.0,"Proficient in the use of PC and Mac desktops; Skilled in both Windows and IOS; Adobe- Premiere, After Effects, Photoshop; Avid Media Composer- Avid Media Composer User Certified; Can easily navigate, upload and post to Social Media Sites; Self-starter with a can do attitude; Excellent time management skills; Efficient using DSLR's; Excellent written and verbal communication skills with an eye for detail; Efficient troubleshooter; Productive problem solver; Can type 72 wpm; Competent in the use of Microsoft Word, PowerPoint, Excel, and Outlook","Produce content for Instagram and Facebook; Set clear content objectives; Videographer and Photographer; Film, edit and upload to Social Media Sites; Shoots still photography for individual hire; Camera Operator for weddings, short films, short documentaries, YouTube, vlogs; Edit shoots, both photography and video using adobe or avid; Billing; Member updates; Data entry; Reports; Excel sheets; Microsoft outlook; Payroll; Aphelion; Money Movers; Paychex; Quick Books; Collect bank account information, credit card information, as well as cash for memberships and re-occurring payments; Multitask regularly; Supervise, direct and encouraged other team members; Extremely productive in a high volume, high stress, environments",702.0,"{'can easily navigate, upload and post to social media sites', 'efficient troubleshooter', 'avid media composer- avid media composer user certified', 'proficient in the use of pc and mac desktops', 'self-starter with a can do attitude', 'competent in the use of microsoft word, powerpoint, excel, and outlook', 'adobe- premiere, after effects, photoshop', 'can type 72 wpm', 'excellent time management skills', 'skilled in both windows and ios', 'productive problem solver', ""efficient using dslr's"", 'excellent written and verbal communication skills with an eye for detail'}","{'supervise, direct and encouraged other team members', 'quick books', 'excel sheets', 'edit shoots, both photography and video using adobe or avid', 'camera operator for weddings, short films, short documentaries, youtube, vlogs', 'microsoft outlook', 'member updates', 'aphelion', 'billing', 'paychex', 'money movers', 'set clear content objectives', 'shoots still photography for individual hire', 'collect bank account information, credit card information, as well as cash for memberships and re-occurring payments', 'reports', 'multitask regularly', 'data entry', 'film, edit and upload to social media sites', 'videographer and photographer', 'produce content for instagram and facebook', 'payroll', 'extremely productive in a high volume, high stress, environments'}",0.0,0.0,0.642371046,0.387147576,0.612852424,0.808510638,0.615698684
10.0,"Strong leadership; Analytical & problem solving; Microsoft- word, excel, power point, access, outlook; Adaptability, teamwork & communication; Google Docs, google Sheets; Program management; Research; Family and children's programs knowledge; SPSS Statistic Software; Exemplary people management skills; SAP Accounting Software; Exceptional communication skills; HIPAA guidelines",Coding Compliance Auditor; Management and coordination of daily operations; Analyzing and auditing medical records; Training sessions for physicians; Educating physicians on accurate coding; Creating and implementing new documentation templates; Processing accounting requisitions; Office management; Scheduling; Billing; Processing health insurance claims; Program Manager; Managing several programs; Explaining program offerings and requirements; Identifying needs of children; Creating tutoring tools and resources; Assessing and tracking students' progress; Modifying program to enhance effectiveness; Addressing program and policy issues; Developing best practices; Improving service delivery; Implementing software; Analyzing budget; Planning and organizing activities; Coordinating and team leading; Collaborating and encouraging student and parent commitment; Handling sensitive information; Recruitment; Marketing strategies; Database creation; Customer service; Clerical duties; Public awareness promotion; President of Parent-Teacher's Organization; Overseeing all aspects of PTO body; Acting as chief spokesperson for PTO; Liaison between all components of the TNAACS community; Budgeting; Meeting coordination; Teamwork; Leadership,112.0,"{'microsoft- word, excel, power point, access, outlook', 'strong leadership', 'google docs, google sheets', 'adaptability, teamwork & communication', 'research', 'spss statistic software', 'exceptional communication skills', 'sap accounting software', ""family and children's programs knowledge"", 'hipaa guidelines', 'program management', 'analytical & problem solving', 'exemplary people management skills'}","{'analyzing budget', 'addressing program and policy issues', 'implementing software', 'management and coordination of daily operations', 'marketing strategies', 'public awareness promotion', 'collaborating and encouraging student and parent commitment', 'processing health insurance claims', 'developing best practices', 'modifying program to enhance effectiveness', 'program manager', 'handling sensitive information', 'meeting coordination', 'coordinating and team leading', ""president of parent-teacher's organization"", 'office management', 'billing', 'training sessions for physicians', 'explaining program offerings and requirements', 'coding compliance auditor', 'analyzing and auditing medical records', 'creating tutoring tools and resources', 'liaison between all components of the tnaacs community', 'customer service', 'budgeting', 'overseeing all aspects of pto body', 'teamwork', 'improving service delivery', 'identifying needs of children', 'acting as chief spokesperson for pto', 'leadership', 'planning and organizing activities', 'educating physicians on accurate coding', 'database creation', 'creating and implementing new documentation templates', ""assessing and tracking students' progress"", 'clerical duties', 'scheduling', 'processing accounting requisitions', 'recruitment', 'managing several programs'}",0.0,0.0,0.652180983,0.421198537,0.578801463,0.808510638,0.615236569
4.5,balance sheets; client; database; delivery; financial statements; funds; Excel; PowerPoint; Microsoft Word; progress; QuickBooks; sales; taxes; Technician,data analysis; economic forecasting; problem solving; collaborative research; presentation skills; customer service; sandwich making; order organization; order preparation; order delivery; food handler certification; lawn analysis; treatment program development; lawn monitoring; progress evaluation; customer service; pizza dough preparation; pizza topping preparation; pizza making; order entry,188.0,"{'client', 'progress', 'excel', 'database', 'powerpoint', 'financial statements', 'sales', 'microsoft word', 'funds', 'delivery', 'taxes', 'quickbooks', 'technician', 'balance sheets'}","{'treatment program development', 'presentation skills', 'food handler certification', 'lawn monitoring', 'collaborative research', 'problem solving', 'lawn analysis', 'data analysis', 'order entry', 'economic forecasting', 'order organization', 'order preparation', 'pizza dough preparation', 'pizza topping preparation', 'customer service', 'sandwich making', 'pizza making', 'progress evaluation', 'order delivery'}",0.0,0.0,0.396976889,0.0,1.0,0.925531915,0.60419945
2.0,Aviation Management; Flight of Aircraft; English; Managerial Strategic Planning,Double Citizenship; Decisive; Excellent english communication skills; Critical thinking; Problem solving abilities; Business systems analysis; Direct service to private airplanes; Marshaling; fueling; towing of aircraft; Aircraft transit coordinator; Dispatchment of company aircraft; Cargo Operations; Kept records of room availability and guests' accounts; Assisted guests with any special requests during their visits; Performed bookkeeping activities; balancing accounts; conducting nightly audits,737.0,"{'english', 'managerial strategic planning', 'flight of aircraft', 'aviation management'}","{'dispatchment of company aircraft', 'assisted guests with any special requests during their visits', 'aircraft transit coordinator', ""kept records of room availability and guests' accounts"", 'excellent english communication skills', 'direct service to private airplanes', 'business systems analysis', 'critical thinking', 'marshaling', 'fueling', 'towing of aircraft', 'conducting nightly audits', 'performed bookkeeping activities', 'decisive', 'double citizenship', 'balancing accounts', 'cargo operations', 'problem solving abilities'}",0.0,0.0,0.485469688,0.423481185,0.576518815,0.978723404,0.599037469
,,,257.0,,,,0.073050292,0.452304944,0.41276395,0.58723605,1.021276596,0.598670407
7.0,Administrative; Cash handling; Excellent communication; interpersonal skills; Detail-oriented merchandising; Self-motivated; 70 WPM,Customer service; Sales; Teamwork; Leadership; Inventory management; Point of sale; Problem solving; Policy adherence; Product knowledge; Store operations; Strategy development; Data analysis; Time management; Organization; Multitasking; Communication; Problem-solving; Decision making,565.0,"{'70 wpm', 'interpersonal skills', 'self-motivated', 'excellent communication', 'detail-oriented merchandising', 'administrative', 'cash handling'}","{'communication', 'time management', 'problem-solving', 'problem solving', 'decision making', 'sales', 'customer service', 'strategy development', 'data analysis', 'teamwork', 'product knowledge', 'organization', 'policy adherence', 'store operations', 'multitasking', 'inventory management', 'leadership', 'point of sale'}",0.0,0.0,0.515754652,0.323345523,0.676654477,0.872340426,0.596859928
