id,recommender_ids,recommender_list,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,pagerank,community,score
0,"[218, 391]","[218, 391]",0.07692307692307691,0.1111111111111111,0.013578501658374105,0.5787102078096761,0.0006297019164908,0.4444444444444444,0.24495346838933654
1,"[412, 869, 233, 289]","[412, 869, 233, 289]",0.23076923076923073,0.2222222222222222,0.015435952329118758,0.6053132403673825,0.001419782405475,0.2222222222222222,0.2591925735820353
2,"[582, 624, 592, 662, 469]","[582, 624, 592, 662, 469]",0.30769230769230765,0.2222222222222222,0.052732775622206796,0.70413839964708,0.003269998904189,0.6666666666666666,0.39069047437009663
3,"[194, 122]","[194, 122]",0.07692307692307691,0.5555555555555556,0.027925527276680538,0.8111734594009333,0.0011106202467245,0.3333333333333333,0.3609821904979159
4,"[763, 726, 589, 977, 950, 543, 30]","[763, 726, 589, 977, 950, 543, 30]",0.4615384615384615,0.1111111111111111,0.01800229358366016,0.8683468370251861,0.0016429028336173,0.3333333333333333,0.35846640731835044
5,"[938, 338, 417, 932, 16]","[938, 338, 417, 932, 16]",0.30769230769230765,0.3333333333333333,0.08051611319269875,0.6893194300113894,0.0013491744878411,0.5555555555555556,0.39328334795705694
6,"[232, 390]","[232, 390]",0.07692307692307691,0.3333333333333333,0.034514609245296556,0.6350275129255367,0.0008751143777507,0.5555555555555556,0.3270708175965598
7,"[149, 366, 376]","[149, 366, 376]",0.15384615384615385,0.2222222222222222,0.013537295638221526,0.6568030071603043,0.0007611443773445,0.1111111111111111,0.23150395799560258
8,"[171, 687, 159]","[171, 687, 159]",0.15384615384615385,0.2222222222222222,0.022042274329317667,0.5850802848757087,0.0007141820909303,0.4444444444444444,0.2855270759435694
9,"[102, 851, 123, 794, 684]","[102, 851, 123, 794, 684]",0.30769230769230765,0.3333333333333333,0.2102305028000751,0.5613565653857501,0.0013340901927631,0.2222222222222222,0.3269669862867377
10,"[962, 955, 481]","[962, 955, 481]",0.15384615384615385,0.2222222222222222,0.015906212402733252,0.5605102348492622,0.0011200891578137,0.2222222222222222,0.23494140910851877
11,"[586, 970]","[586, 970]",0.07692307692307691,0.2222222222222222,0.006268192962897052,0.5570386772259448,0.0016162390928353,0.2222222222222222,0.21693487831127262
12,"[10, 202]","[10, 202]",0.07692307692307691,0.2222222222222222,0.0055692106463141955,0.5135899394400253,0.0008169836697552,0.2222222222222222,0.20810533429077216
13,"[786, 987]","[786, 987]",0.07692307692307691,0.2222222222222222,0.03150448851857881,0.5790705131335916,0.0008379117990381,0.7777777777777777,0.33749961571504944
14,[837],[837],0.0,0.1111111111111111,0.0007278355664091056,0.5908393300467784,0.00024174791673,0.6666666666666666,0.27386898867819304
15,"[748, 511, 993, 963, 445, 751]","[748, 511, 993, 963, 445, 751]",0.38461538461538464,0.2222222222222222,0.15173751967401108,0.6756764624796479,0.0012482660058769,0.8888888888888888,0.4646280955760309
16,"[277, 565]","[277, 565]",0.07692307692307691,0.6666666666666666,0.03729838583317344,0.5785902045800834,0.0013841673690644,0.5555555555555556,0.38300677791171117
17,"[475, 614, 404, 506]","[475, 614, 404, 506]",0.23076923076923073,0.1111111111111111,0.006183187697155582,0.6108734110657644,0.00187275704571,0.8888888888888888,0.3695651659064302
18,"[328, 750, 306]","[328, 750, 306]",0.15384615384615385,0.2222222222222222,0.13407340907452558,0.734213029327531,0.0012178141992415,1.0,0.44887096289408657
19,"[278, 671]","[278, 671]",0.07692307692307691,0.3333333333333333,0.011144930615454622,0.467618960768714,0.0004042693715856,0.2222222222222222,0.2222485047725602
20,"[772, 943]","[772, 943]",0.07692307692307691,0.5555555555555556,0.07181568935259397,0.6108066240354083,0.0012123548453405,0.1111111111111111,0.2852424113955492
21,[459],[459],0.0,0.4444444444444444,0.047511004315872095,0.6005619185936246,0.0004505334009705,0.1111111111111111,0.24072569569301044
22,"[570, 390, 211]","[570, 390, 211]",0.15384615384615385,0.2222222222222222,0.01565814634323854,0.6154490944970102,0.0006084022835029,0.5555555555555556,0.3125462344928361
23,"[575, 332, 456]","[575, 332, 456]",0.15384615384615385,0.3333333333333333,0.025501066193076603,0.5165931867333834,0.0012177647368055,0.2222222222222222,0.25029919246563387
24,"[292, 839, 377]","[292, 839, 377]",0.15384615384615385,0.5555555555555556,0.014994283355323988,0.5545455134163831,0.0006554993888415,0.8888888888888888,0.4335660790124611
25,[165],[165],0.0,0.5555555555555556,0.004029729738470898,0.5497332189167098,0.0005267425862503,0.7777777777777777,0.3774192563977028
26,[60],[60],0.0,0.2222222222222222,0.17570882870528606,0.6149749380075606,0.0009137116897783,0.1111111111111111,0.224803420009236
27,"[138, 332, 684]","[138, 332, 684]",0.15384615384615385,0.2222222222222222,0.02246957467452385,0.609208060424857,0.0009895646995766,0.2222222222222222,0.24599364667799586
28,"[213, 296, 329, 72]","[213, 296, 329, 72]",0.23076923076923073,0.6666666666666666,0.2026663703238941,0.6151780593483825,0.0009006002600069,0.4444444444444444,0.4319449543105236
29,"[951, 388, 312]","[951, 388, 312]",0.15384615384615385,0.2222222222222222,0.028226627865509134,0.6835134396054197,0.0016625092898865,1.0,0.4175616887078609
30,"[430, 152, 332, 215, 643]","[430, 152, 332, 215, 643]",0.30769230769230765,0.5555555555555556,0.6272737008522055,0.8260887819059608,0.0017626866053578,0.3333333333333333,0.5299887358678725
31,"[641, 86, 40, 401, 251, 364]","[641, 86, 40, 401, 251, 364]",0.38461538461538464,0.5555555555555556,0.18385041590588402,0.5791907135544514,0.0015389641138855,0.7777777777777777,0.49619796948181066
32,"[666, 366, 193, 849, 305]","[666, 366, 193, 849, 305]",0.30769230769230765,0.1111111111111111,0.001809492486335938,0.6599802174175358,0.0009224502195922,0.1111111111111111,0.23834084796368032
33,"[580, 797]","[580, 797]",0.07692307692307691,0.3333333333333333,0.07331356606527889,0.8145859958742037,0.0009865074051279,0.3333333333333333,0.32629786110584524
34,[756],[756],0.0,0.3333333333333333,0.00953513059315572,0.5985664910261135,0.0006274602370962,1.0,0.3882869909905205
35,"[788, 686, 708, 678, 268, 919, 295]","[788, 686, 708, 678, 268, 919, 295]",0.4615384615384615,0.6666666666666666,0.06648321874813458,0.6229268893523261,0.0017161003874099,0.0,0.3635230472611178
36,"[197, 62]","[197, 62]",0.07692307692307691,0.5555555555555556,0.08385276056860945,0.594488129273188,0.0016808832187949,0.7777777777777777,0.41771946001964155
37,"[405, 413, 466]","[405, 413, 466]",0.15384615384615385,0.3333333333333333,0.020763865197060076,0.5612435753177086,0.0008871272906048,0.2222222222222222,0.25828182998329563
38,"[834, 668, 469]","[834, 668, 469]",0.15384615384615385,0.7777777777777778,0.0748536756689791,0.6595904788522867,0.0019540397039777,0.6666666666666666,0.4665469505623728
39,"[336, 925]","[336, 925]",0.07692307692307691,0.2222222222222222,0.03286076367498475,0.5934140423747368,0.0005731868734902,0.5555555555555556,0.2961951321501153
40,"[508, 770, 967, 656]","[508, 770, 967, 656]",0.23076923076923073,0.3333333333333333,0.1264123791325894,0.6205751357547185,0.0014056174953431,0.7777777777777777,0.41777357135352994
41,"[961, 414, 246, 329, 273, 917]","[961, 414, 246, 329, 273, 917]",0.38461538461538464,0.4444444444444444,0.14602320452480239,0.6716228367132767,0.0019831497538523,0.4444444444444444,0.4182300629484706
42,"[933, 458, 272, 832, 93]","[933, 458, 272, 832, 93]",0.30769230769230765,0.1111111111111111,0.021982809875947026,0.7061799052105905,0.0008944434640492,0.1111111111111111,0.2516154490002135
43,"[675, 367, 602, 536, 229, 131]","[675, 367, 602, 536, 229, 131]",0.38461538461538464,0.0,0.0,0.6592042936328937,0.0015166380112473,0.1111111111111111,0.23098615787187787
44,"[213, 163, 433, 28, 762]","[213, 163, 433, 28, 762]",0.30769230769230765,0.3333333333333333,0.02624084169860006,0.6220948464752258,0.0017908961376164,0.4444444444444444,0.3467611547287822
45,[623],[623],0.0,0.3333333333333333,0.011153217578253287,0.5496790082551746,0.0003676657925964,0.8888888888888888,0.35661088961113
46,"[497, 315]","[497, 315]",0.07692307692307691,0.2222222222222222,0.032825110038551444,0.7655858380835959,0.0004047663196602,0.3333333333333333,0.286177916120156
47,"[387, 33, 428, 497, 407]","[387, 33, 428, 497, 407]",0.30769230769230765,0.7777777777777778,0.3583474007227623,0.8485488294707793,0.0012927973913629,0.3333333333333333,0.5251399297993922
48,[136],[136],0.0,0.1111111111111111,0.00019973326849989767,0.5637967803591721,0.0003828205683941,0.1111111111111111,0.15724374716997885
49,"[731, 932, 927]","[731, 932, 927]",0.15384615384615385,0.1111111111111111,0.0573260114309294,0.7062689325055632,0.0019835101024279,0.5555555555555556,0.31682155288986263
50,"[774, 664, 877, 25]","[774, 664, 877, 25]",0.23076923076923073,0.3333333333333333,0.03883804145685352,0.59221812801729,0.0007688216016014,0.7777777777777777,0.39458730227089706
51,"[636, 961]","[636, 961]",0.07692307692307691,0.3333333333333333,0.10615317602318829,0.6862780772311153,0.0014220038064562,0.4444444444444444,0.3294264215910317
52,[387],[387],0.0,0.5555555555555556,0.012868439540006497,0.6810192164787716,0.0003196657566452,0.3333333333333333,0.3165553089815334
53,[956],[956],0.0,0.4444444444444444,0.02543445153345257,0.660914947351201,0.0005290142061211,0.6666666666666666,0.35949210199915294
54,"[828, 377, 379]","[828, 377, 379]",0.15384615384615385,0.2222222222222222,0.20875208052517674,0.6118099496811221,0.0007689805252671,0.3333333333333333,0.3059927479216017
55,"[413, 187]","[413, 187]",0.07692307692307691,0.1111111111111111,0.009029332467727389,0.5601161436296431,0.0008867158640792,0.2222222222222222,0.19588037727075616
56,"[872, 792, 69, 901, 741]","[872, 792, 69, 901, 741]",0.30769230769230765,0.3333333333333333,0.035033828978438056,0.725095447909667,0.0024929446788738,1.0,0.4802309835827492
