Filename,Vague Score,Cosine Similarity
Resume_of_ID_0.pdf,3,0.1102
Resume_of_ID_1.pdf,0,0.1257
Resume_of_ID_10.pdf,2,0.1192
Resume_of_ID_100.pdf,2,0.0907
Resume_of_ID_101.pdf,1,0.11
Resume_of_ID_102.pdf,1,0.0663
Resume_of_ID_103.pdf,1,0.0878
Resume_of_ID_104.pdf,1,0.1068
Resume_of_ID_105.pdf,11,0.1349
Resume_of_ID_106.pdf,0,0.0587
Resume_of_ID_107.pdf,5,0.1345
Resume_of_ID_108.pdf,2,0.1134
Resume_of_ID_109.pdf,0,0.061
Resume_of_ID_11.pdf,6,0.1089
Resume_of_ID_110.pdf,2,0.1011
Resume_of_ID_111.pdf,11,0.1244
Resume_of_ID_112.pdf,6,0.1183
Resume_of_ID_113.pdf,1,0.0965
Resume_of_ID_114.pdf,11,0.1101
Resume_of_ID_115.pdf,6,0.1355
Resume_of_ID_116.pdf,8,0.1428
Resume_of_ID_117.pdf,1,0.1198
Resume_of_ID_118.pdf,4,0.1483
Resume_of_ID_119.pdf,3,0.1158
Resume_of_ID_12.pdf,1,0.1009
Resume_of_ID_120.pdf,6,0.114
Resume_of_ID_121.pdf,0,0.0934
Resume_of_ID_122.pdf,2,0.0636
Resume_of_ID_123.pdf,2,0.0978
Resume_of_ID_124.pdf,4,0.0681
Resume_of_ID_125.pdf,5,0.1169
Resume_of_ID_126.pdf,10,0.1797
Resume_of_ID_127.pdf,0,0.0603
Resume_of_ID_128.pdf,3,0.1178
Resume_of_ID_129.pdf,1,0.1032
Resume_of_ID_13.pdf,3,0.0967
Resume_of_ID_130.pdf,4,0.1826
Resume_of_ID_131.pdf,4,0.0932
Resume_of_ID_132.pdf,1,0.1023
Resume_of_ID_133.pdf,0,0.0643
Resume_of_ID_134.pdf,2,0.1127
Resume_of_ID_135.pdf,2,0.1675
Resume_of_ID_136.pdf,2,0.0948
Resume_of_ID_137.pdf,1,0.094
Resume_of_ID_138.pdf,0,0.0997
Resume_of_ID_139.pdf,3,0.0826
Resume_of_ID_14.pdf,7,0.0942
Resume_of_ID_140.pdf,10,0.1198
Resume_of_ID_141.pdf,1,0.0616
Resume_of_ID_142.pdf,7,0.1483
Resume_of_ID_143.pdf,2,0.0638
Resume_of_ID_144.pdf,6,0.1099
Resume_of_ID_145.pdf,0,0.1262
Resume_of_ID_146.pdf,1,0.0919
Resume_of_ID_147.pdf,3,0.0961
Resume_of_ID_148.pdf,0,0.0729
Resume_of_ID_149.pdf,2,0.073
Resume_of_ID_15.pdf,3,0.1292
Resume_of_ID_150.pdf,1,0.0961
Resume_of_ID_151.pdf,1,0.0673
Resume_of_ID_152.pdf,5,0.1019
Resume_of_ID_153.pdf,2,0.1129
Resume_of_ID_154.pdf,0,0.1707
Resume_of_ID_155.pdf,8,0.1594
Resume_of_ID_156.pdf,2,0.0578
Resume_of_ID_157.pdf,4,0.0804
Resume_of_ID_158.pdf,7,0.1436
Resume_of_ID_159.pdf,7,0.0901
Resume_of_ID_16.pdf,2,0.1215
Resume_of_ID_160.pdf,3,0.0955
Resume_of_ID_161.pdf,4,0.1029
Resume_of_ID_162.pdf,2,0.1447
Resume_of_ID_163.pdf,2,0.146
Resume_of_ID_164.pdf,4,0.0998
Resume_of_ID_165.pdf,4,0.1359
Resume_of_ID_166.pdf,1,0.1023
Resume_of_ID_167.pdf,3,0.0478
Resume_of_ID_168.pdf,5,0.1006
Resume_of_ID_169.pdf,1,0.0723
Resume_of_ID_17.pdf,0,0.082
Resume_of_ID_170.pdf,2,0.1065
Resume_of_ID_171.pdf,9,0.1491
Resume_of_ID_172.pdf,4,0.0948
Resume_of_ID_173.pdf,1,0.1333
Resume_of_ID_174.pdf,4,0.0981
Resume_of_ID_175.pdf,3,0.1255
Resume_of_ID_176.pdf,0,0.0645
Resume_of_ID_177.pdf,7,0.1018
Resume_of_ID_178.pdf,5,0.1258
Resume_of_ID_179.pdf,0,0.0616
Resume_of_ID_18.pdf,5,0.0935
Resume_of_ID_180.pdf,2,0.1009
Resume_of_ID_181.pdf,1,0.0556
Resume_of_ID_182.pdf,0,0.059
Resume_of_ID_183.pdf,2,0.0895
Resume_of_ID_184.pdf,2,0.1066
Resume_of_ID_185.pdf,7,0.112
Resume_of_ID_186.pdf,0,0.0752
Resume_of_ID_187.pdf,0,0.0561
Resume_of_ID_188.pdf,0,0.1057
Resume_of_ID_189.pdf,9,0.1008
Resume_of_ID_19.pdf,2,0.1098
Resume_of_ID_190.pdf,0,0.0983
Resume_of_ID_191.pdf,3,0.0644
Resume_of_ID_192.pdf,5,0.1512
Resume_of_ID_193.pdf,2,0.1143
Resume_of_ID_194.pdf,1,0.0519
Resume_of_ID_195.pdf,1,0.0963
Resume_of_ID_196.pdf,1,0.0869
Resume_of_ID_197.pdf,1,0.1018
Resume_of_ID_198.pdf,6,0.1099
Resume_of_ID_199.pdf,3,0.0752
Resume_of_ID_2.pdf,0,0.0389
Resume_of_ID_20.pdf,5,0.0681
Resume_of_ID_200.pdf,1,0.0913
Resume_of_ID_201.pdf,6,0.1024
Resume_of_ID_202.pdf,3,0.0923
Resume_of_ID_203.pdf,3,0.0801
Resume_of_ID_204.pdf,2,0.1322
Resume_of_ID_205.pdf,1,0.0673
Resume_of_ID_206.pdf,1,0.1082
Resume_of_ID_207.pdf,3,0.0898
Resume_of_ID_208.pdf,8,0.11
Resume_of_ID_209.pdf,4,0.1355
Resume_of_ID_21.pdf,0,0.083
Resume_of_ID_210.pdf,2,0.0663
Resume_of_ID_211.pdf,4,0.1118
Resume_of_ID_212.pdf,5,0.1387
Resume_of_ID_213.pdf,3,0.057
Resume_of_ID_214.pdf,4,0.0628
Resume_of_ID_215.pdf,1,0.0673
Resume_of_ID_216.pdf,1,0.1226
Resume_of_ID_217.pdf,3,0.0819
Resume_of_ID_218.pdf,1,0.0732
Resume_of_ID_219.pdf,1,0.0995
